,Date-Time,content,content_type,movie_popularity_factor,children_popularity_factor,adults_popularity_factor,retirees_popularity_factor,movie_budget,box_office_revenue,n_ad_breaks,prime_time_factor,children_baseline_view_count,children_expected_view_count,children_true_view_count_0,children_true_view_count_1,children_true_view_count_2,children_true_view_count_3,children_true_view_count_4,children_true_view_count_5,children_true_view_count_6,children_true_view_count_7,children_true_view_count_8,children_true_view_count_9,adults_baseline_view_count,adults_expected_view_count,adults_true_view_count_0,adults_true_view_count_1,adults_true_view_count_2,adults_true_view_count_3,adults_true_view_count_4,adults_true_view_count_5,adults_true_view_count_6,adults_true_view_count_7,adults_true_view_count_8,adults_true_view_count_9,retirees_baseline_view_count,retirees_expected_view_count,retirees_true_view_count_0,retirees_true_view_count_1,retirees_true_view_count_2,retirees_true_view_count_3,retirees_true_view_count_4,retirees_true_view_count_5,retirees_true_view_count_6,retirees_true_view_count_7,retirees_true_view_count_8,retirees_true_view_count_9,ad_slot_price
1,2024-10-01 07:05:00,Advert,Advert,0.4391173866319452,0.175647,0.4391174,0.3512939,43000000.0,93983911.0,4.0,1.0,0.0149481170454053,0.0026255919146743,0.0012103587312762,0.0024204340819031,0.0043331614125391,0.0030408353669807,0.0029583351712398,0.0002276182438072,0.0026089126557876,0.0014128614175037,0.0015103778518659,0.0010947482255313,0.0166635398751183,0.0073172503047582,0.0116499150785797,0.0099574124899027,0.0045029354430523,0.0135682034517618,0.0026470414525274,0.0051462026184377,0.006264511687208,0.0116796737853608,0.0,0.0009743189409411,0.0025253035637628,0.0008871237375981,0.0003512070700567,0.0031950277236028,0.001217805818677,0.0017748835062543,0.0,0.0,0.0004181252276905,0.0006546425865792,0.0009425486532391,8.420315117015957e-05,56995.17
7,2024-10-01 07:35:00,Advert,Advert,0.4391173866319452,0.175647,0.4391174,0.3512939,43000000.0,93983911.0,4.0,1.0,0.012653583207396,0.0022225639296294,0.0015990018116961,0.0010183469020861,0.0030270875220533,0.0006460502671614,0.0022640348321462,0.000790496386788,0.0016035090270375,0.0002994113011802,0.0024935827986922,0.0011272623484937,0.0170083716788491,0.0074686719498498,0.0142669621700756,0.0047942109662384,0.0,0.0109982580367957,0.0109813244336543,0.0015484995089842,0.0014591148000087,0.0077491660527649,0.0068574503504717,0.0025425009423005,0.0032938560499762,0.0011571115378347,0.001999036921067,0.0007409751508786,0.0001687657504909,0.002064046998609,0.0001022360197984,0.0024533331430034,0.0014390328183938,0.0,0.0002868477715403,0.0,56995.17
14,2024-10-01 08:10:00,Advert,Advert,0.2552172824235865,0.2041738,0.2552173,0.2552173,29000000.0,16930185.0,4.0,1.0,0.0075964284721942,0.0015509916675961,0.0035716882026896,0.0016285030585656,0.0041219783813881,0.0026301822479902,0.0,0.0,0.0028650706045441,0.0,0.0009486013654674,0.0015017748519444,0.0180613130727768,0.0046095595568887,0.013110894622813,0.0025318304577988,0.0,0.0043909334237127,0.0061933861505067,0.0018888620528563,0.0015246150085622,0.01089878873006,0.0,0.0,0.0044175765445964,0.0011274419582552,0.0,0.0011398202724938,0.0017700393180235,0.0013226372668796,0.0,0.0,0.001835740110408,0.002779404560775,0.0014796933503716,0.0,25479.06
20,2024-10-01 08:40:00,Advert,Advert,0.2552172824235865,0.2041738,0.2552173,0.2552173,29000000.0,16930185.0,4.0,1.0,0.003744359691898,0.0007645001468616,0.0006037516885173,0.0,0.0076914318190391,0.0009366963408481,0.0008132043590125,0.0,0.0009403770282963,0.0005206199778012,0.0009658309116299,0.001350122152725,0.019514524328231,0.0049804442098354,0.0073027962385423,0.0112395304098132,0.0006266220670572,0.0047697329759738,0.0054840863840297,0.0047206741518008,0.0084114819774751,0.0070513724758648,0.0,0.0,0.0055932096112292,0.0014274838553119,0.0,0.0021868916310098,0.0,0.0018898032887968,0.0020635180446933,8.858737895621978e-05,0.0031510717734625,0.0012987886413351,0.0017360929399526,0.0015789185106586,25479.06
26,2024-10-01 09:10:00,Advert,Advert,0.2552172824235865,0.2041738,0.2552173,0.2552173,29000000.0,16930185.0,4.0,1.0,0.0014457139449723,0.000295176909858,0.0,0.0024078557437925,0.0027929857796181,0.0,0.000301229508637,0.0010274471476254,0.0007555298163953,0.0,0.0,0.0,0.0214650884033974,0.0054782619065764,0.0096230209301076,0.0125112200489175,0.0044750307778979,0.0133679989501776,0.0033691650539018,0.0067675509390426,0.007359580954323,0.0101364079433963,0.0041011756917664,0.0024460857508304,0.0069756578771998,0.0017803085691426,0.0,0.0018616106980373,0.0009562072664066,0.0002446692684994,0.0,0.000189298695707,0.0002518868484904,0.0017926645644363,0.0023032865868932,0.0011065455873673,25479.06
32,2024-10-01 09:40:00,Advert,Advert,0.2552172824235865,0.2041738,0.2552173,0.2552173,29000000.0,16930185.0,4.0,1.0,0.0004573751516441,9.338402273676286e-05,0.0002998865241917,0.0020211138074028,0.0012872350740031,0.0,0.0027363372210079,0.0,0.0025835921851838,0.0,0.0,0.0005337972343744,0.0238975274622872,0.0060990624356008,0.0020203903202847,0.0090239896984463,0.0002984189383193,0.0029103227485661,0.0085129402483606,0.0,0.0001870819463656,0.007846069406589,0.0014202240671067,0.0,0.0085670941872405,0.0021864706473132,0.0001388862032807,0.0008382130317938,0.0022735879042294,0.001760954766585,0.0020115039954815,0.0027932977227673,0.0020912304898056,0.0007181325139461,0.0032405841522276,0.0022501908340963,25479.06
39,2024-10-01 10:15:00,Advert,Advert,0.418991539021999,0.3351932,0.4189915,0.3351932,28000000.0,299965036.0,4.0,1.0,0.0001569715141755,5.261578414535345e-05,0.0,1.847219799822581e-05,0.0007330010661648,0.0023212232272209,0.0,0.0,0.0,0.0003059916244668,0.0,0.0,0.0273156317266324,0.0114450175105893,0.0104439570926162,0.0104636766369675,0.0099804538654099,0.0083751576709395,0.008529157044778,0.0079156576115265,0.0115341633813576,0.0127300935745351,0.0096446297710176,0.010566721743606,0.0106768630801735,0.0035788119018052,0.0046029839646698,0.0056554906203856,0.0028865052305344,0.002508667484573,0.0009219285435708,0.0018974687784996,0.0022132511781506,0.0049875474675226,0.0028995414799901,0.0025980706125204,109789.51
45,2024-10-01 10:45:00,Advert,Advert,0.418991539021999,0.3351932,0.4189915,0.3351932,28000000.0,299965036.0,4.0,1.0,0.0001950736532662,6.538736207400963e-05,0.0004167475701144,0.0028126495977092,0.0013135088932943,0.0,0.0004438604476962,0.0,0.0012089374270433,0.0,0.0,0.0,0.0307099577884271,0.0128672112787097,0.0158523800773802,0.0160214327342353,0.0009709035991842,0.0102235949040058,0.0091638007498587,0.0062473310564631,0.0136814848385632,0.0122177313513314,0.0082285996357564,0.0150307826250865,0.0126785212451421,0.0042497541074271,0.0048378217837297,0.0052860544801329,0.0019745465229842,0.0045482128750976,0.0059610749561937,0.0028087155200891,0.0039409825326609,0.0041070377640007,0.0043524114397065,0.0041409370120434,109789.51
51,2024-10-01 11:15:00,Advert,Advert,0.418991539021999,0.3351932,0.4189915,0.3351932,28000000.0,299965036.0,4.0,1.0,0.0003866992158621,0.0001296189476023,0.0,0.0,0.0005468930366429,0.0008227333170137,0.0008664086475601,0.0,0.0,0.0,0.0,4.805933485842752e-05,0.0344941456961461,0.0144527538464468,0.0157214388095959,0.0093036407264371,0.0072372343663097,0.0136457496045006,0.0084013739989647,0.0109380974510774,0.020084148192557,0.0176454434716443,0.0088596832632476,0.0091310989032313,0.0148223797218644,0.0049683608905868,0.0034163956099671,0.0042389463745797,0.0028270390579495,0.0023400988095885,0.0025995240433046,0.0052531664850499,0.002770456154442,0.0043426679316531,0.0061134731934551,0.0024230507621824,109789.51
57,2024-10-01 11:45:00,Advert,Advert,0.418991539021999,0.3351932,0.4189915,0.3351932,28000000.0,299965036.0,4.0,1.0,0.0007656641472694,0.0002566454156485,0.0008970445568144,0.0011345395060263,0.0,0.0,0.0006946200584982,0.0,0.000946993737421,0.0020052079151481,0.0006675310305858,0.0,0.0386223182609216,0.0161824230616209,0.0220266533878874,0.0116276618655232,0.0082875024237685,0.0104605875894096,0.0101787304094824,0.0210949252937578,0.0124473148398478,0.0176347302428835,0.0135172941359849,0.0084815976677793,0.0170602841257617,0.0057184912290232,0.0041492869985696,0.0048834488039919,0.0053155025616502,0.0011978858033914,0.0026457565716984,0.0063524813026548,0.0017200831605868,0.00427916047402,0.0064875133988523,0.005964350563344,109789.51
