title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres,n_ad_breaks,runtime_with_ads,scaled_popularity,children_scaled_popularity,adults_scaled_popularity,retirees_scaled_popularity,license_fee
Iron Man 3,6.928,21064,2013-04-18,1215577205,130,200000000,61.06,"['Action', 'Adventure', 'Science Fiction']",5,150.0,0.8797232196876363,0.7037786,0.8797232,0.3518893,1950692.65
Black Panther,7.39,21053,2018-02-13,1349926083,135,200000000,43.665,"['Action', 'Adventure', 'Science Fiction']",5,150.0,0.7753882674797583,0.6203106,0.7753883,0.3101553,2111911.3
The Hunger Games,7.193,20636,2012-03-12,694394724,142,75000000,29.577,"['Science Fiction', 'Adventure', 'Fantasy']",5,180.0,0.6436739522089213,0.5149392,0.643674,0.2574696,1025273.67
Suicide Squad,5.909,20097,2016-08-03,746846894,123,175000000,35.356,"['Action', 'Adventure', 'Fantasy']",5,150.0,0.7055213493087149,0.7055213,0.7055213,0.2822085,1328216.27
Jurassic World,6.682,19414,2015-06-06,1671537444,124,150000000,54.089,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",5,150.0,0.8428939186276252,0.6743151,0.8428939,0.3371576,2377844.93
Wonder Woman,7.236,18954,2017-05-30,822854286,141,149000000,54.628,"['Action', 'Adventure', 'Fantasy']",5,180.0,0.8459432058203166,0.8459432,0.8459432,0.3383773,1357025.14
Fantastic Beasts and Where to Find Them,7.334,17892,2016-11-16,809342332,132,180000000,46.103,"['Fantasy', 'Adventure', 'Family']",5,150.0,0.7928291844618592,0.7928292,0.6342633,0.3171317,1415210.8
Spider-Man,7.279,17653,2002-05-01,821708551,121,139000000,63.478,"['Fantasy', 'Action']",5,150.0,0.891318519467599,0.8913185,0.8913185,0.3565274,1331650.26
Thor: The Dark World,6.538,16359,2013-10-30,644783140,112,170000000,59.968,"['Action', 'Adventure', 'Fantasy']",4,120.0,0.8743021391942887,0.8743021,0.8743021,0.3497209,1193739.77
The Hunger Games: Catching Fire,7.4,16182,2013-11-15,865011746,146,130000000,49.864,"['Adventure', 'Action', 'Science Fiction']",5,180.0,0.8176287442696483,0.654103,0.8176287,0.3270515,1362014.1
Dunkirk,7.456,15464,2017-07-19,527000000,107,150000000,34.529,"['War', 'Action', 'Drama']",4,120.0,0.6974699372486451,0.418482,0.5579759,0.5579759,1004400.0
Beauty and the Beast,6.967,14871,2017-03-16,1266115964,129,160000000,56.226,"['Family', 'Fantasy', 'Romance']",5,150.0,0.8547721775745272,0.6838177,0.6838177,0.6838177,1915339.16
Venom,6.826,14724,2018-09-28,856085151,112,116000000,48.649,"['Science Fiction', 'Action']",4,120.0,0.8098748842968919,0.6478999,0.8098749,0.32395,1317702.18
I Am Legend,7.201,14675,2007-12-12,585410052,101,150000000,59.815,"['Drama', 'Science Fiction', 'Thriller']",4,120.0,0.8735330053394286,0.3494132,0.873533,0.5241198,1074492.06
Captain Marvel,6.843,14657,2019-03-06,1131416446,124,152000000,50.399,"['Action', 'Adventure', 'Science Fiction']",5,150.0,0.8209700376790526,0.656776,0.82097,0.328388,1734499.74
Spider-Man: Far From Home,7.447,14495,2019-06-28,1131927996,129,160000000,49.913,"['Action', 'Adventure', 'Science Fiction']",5,150.0,0.8179365896537087,0.6543493,0.8179366,0.3271746,1754313.6
Skyfall,7.227,14466,2012-10-24,1142471295,143,200000000,33.456,"['Action', 'Adventure', 'Thriller']",5,180.0,0.6866606515849645,0.5493285,0.6866607,0.2746643,1862965.55
Gravity,7.162,14463,2013-10-03,723192705,91,105000000,31.024,"['Science Fiction', 'Thriller', 'Drama']",4,120.0,0.6604865357362456,0.2641946,0.6604865,0.3962919,1131831.25
X-Men: Days of Future Past,7.5,14433,2014-05-15,747862775,132,250000000,60.194,"['Action', 'Adventure', 'Science Fiction']",5,150.0,0.8754338881384593,0.7003471,0.8754339,0.3501736,1509435.33
World War Z,6.807,14409,2013-06-20,531865000,116,200000000,55.042,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",4,150.0,0.8482605117671276,0.5089563,0.8482605,0.5089563,1130238.0
Rogue One: A Star Wars Story,7.488,14354,2016-12-14,1056057273,133,200000000,33.1,"['Action', 'Adventure', 'Science Fiction']",5,150.0,0.6829791604959055,0.5463833,0.6829792,0.2731917,1759268.73
Star Wars: The Last Jedi,6.825,14312,2017-12-13,1332698830,152,200000000,47.241,"['Adventure', 'Action', 'Science Fiction']",6,180.0,0.8005872281757467,0.6404698,0.8005872,0.3202349,2091238.6
Man of Steel,6.614,14310,2013-06-12,668045518,143,225000000,44.96,"['Action', 'Adventure', 'Science Fiction']",5,180.0,0.7847970072630746,0.6278376,0.784797,0.3139188,1353654.62
Spider-Man 2,7.258,14096,2004-06-25,788976453,127,200000000,24.172,"['Action', 'Adventure', 'Fantasy']",5,150.0,0.5704319594881414,0.570432,0.570432,0.2281728,1438771.74
Alice in Wonderland,6.627,13149,2010-03-03,1025467110,108,200000000,56.345,"['Family', 'Fantasy', 'Adventure']",4,120.0,0.8554173870309354,0.8554174,0.6843339,0.342167,1722560.53
Spider-Man 3,6.398,13098,2007-05-01,894983373,139,258000000,61.149,"['Fantasy', 'Action', 'Adventure']",5,150.0,0.8801598443010724,0.8801598,0.8801598,0.3520639,1705180.05
Aquaman,6.9,12965,2018-12-07,1148528393,143,160000000,52.471,"['Action', 'Adventure', 'Fantasy']",5,180.0,0.8335128559307043,0.8335129,0.8335129,0.3334051,1774234.07
Jumanji: Welcome to the Jungle,6.827,12796,2017-12-09,995339117,119,90000000,26.669,"['Adventure', 'Action', 'Comedy', 'Fantasy']",4,150.0,0.6065667105206766,0.6065667,0.6065667,0.36394,1422406.94
Star Wars: Episode III - Revenge of the Sith,7.411,12753,2005-05-17,850000000,140,113000000,41.215,"['Adventure', 'Action', 'Science Fiction']",5,180.0,0.7566129252969219,0.6052903,0.7566129,0.3026452,1303200.0
Brave,7.012,12591,2012-06-21,538983207,93,185000000,58.647,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",4,120.0,0.8675814142048499,0.8675814,0.6940651,0.5205488,1102779.85
Ant-Man and the Wasp,6.951,12512,2018-07-04,622674139,119,140000000,34.801,"['Action', 'Adventure', 'Science Fiction']",4,150.0,0.7001441287425434,0.5601153,0.7001441,0.2800577,1095208.97
Maleficent,7.09,12477,2014-05-28,758539785,97,180000000,51.055,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']",4,120.0,0.8250083088786918,0.6600066,0.6600066,0.495005,1354247.74
Life of Pi,7.398,12426,2012-11-20,609016565,127,120000000,37.796,"['Adventure', 'Drama']",5,150.0,0.727982637719764,0.5823861,0.7279826,0.5823861,1030819.88
Star Wars: Episode II - Attack of the Clones,6.6,12288,2002-05-15,649398328,142,120000000,42.55,"['Adventure', 'Action', 'Science Fiction']",5,180.0,0.7670084772979835,0.6136068,0.7670085,0.3068034,1079277.99
X-Men: Apocalypse,6.513,12215,2016-05-18,543934787,144,178000000,45.544,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",5,180.0,0.7889318345953802,0.6311455,0.7889318,0.3155727,1091921.74
Incredibles 2,7.481,12061,2018-06-14,1242805359,118,200000000,49.215,"['Action', 'Adventure', 'Animation', 'Family']",4,150.0,0.8135161116474916,0.8135161,0.4881097,0.3254064,1983366.43
The Hunger Games: Mockingjay - Part 2,6.9,11557,2015-11-18,653428261,137,160000000,43.902,"['Action', 'Adventure', 'Science Fiction']",5,150.0,0.7771355905573918,0.6217085,0.7771356,0.3108542,1180113.91
Finding Dory,7.042,11429,2016-06-16,1028570889,97,200000000,26.562,"['Adventure', 'Animation', 'Comedy', 'Family']",4,120.0,0.6051061980651593,0.6051062,0.3630637,0.3630637,1726285.07
2012,5.819,11300,2009-10-10,791217826,158,200000000,51.914,"['Action', 'Adventure', 'Science Fiction']",6,180.0,0.8302013406618054,0.6641611,0.8302013,0.3320805,1441461.39
Pirates of the Caribbean: Dead Men Tell No Tales,6.648,11176,2017-05-23,795922298,128,230000000,62.006,"['Adventure', 'Action', 'Fantasy']",5,150.0,0.8843250526945032,0.8843251,0.8843251,0.35373,1519106.76
Despicable Me 2,6.916,10523,2013-06-26,970761885,98,76000000,46.283,"['Animation', 'Comedy', 'Family']",4,120.0,0.7940718267658745,0.7940718,0.4764431,0.6352575,1359314.26
Kung Fu Panda,7.24,10503,2008-06-04,631744560,90,130000000,52.866,"['Action', 'Adventure', 'Animation', 'Family', 'Comedy']",4,120.0,0.8358353226655122,0.8358353,0.6686683,0.5015012,1082093.47
