ID,Date-Time,Channel,Action,Movie Title,Viewerships
Cost,N/A,N/A,Total Cost,N/A,10321070.44
2024-10-01 07:00:00_Own Channel_Show Movie,2024-10-01 07:00:00,Own Channel,Show Movie,Ice Age: Continental Drift,
2024-10-01 07:00:00_Own Channel_Sell Adslot,2024-10-01 07:00:00,Own Channel,Sell Adslot,,29507
2024-10-01 07:30:00_Own Channel_Show Movie,2024-10-01 07:30:00,Own Channel,Show Movie,Ice Age: Continental Drift,
2024-10-01 07:30:00_Own Channel_Sell Adslot,2024-10-01 07:30:00,Own Channel,Sell Adslot,,29016
2024-10-01 08:00:00_Own Channel_Show Movie,2024-10-01 08:00:00,Own Channel,Show Movie,Ice Age: Continental Drift,
2024-10-01 08:00:00_Own Channel_Sell Adslot,2024-10-01 08:00:00,Own Channel,Sell Adslot,,26250
2024-10-01 08:30:00_Own Channel_Show Movie,2024-10-01 08:30:00,Own Channel,Show Movie,X-Men: Days of Future Past,
2024-10-01 08:30:00_Own Channel_Sell Adslot,2024-10-01 08:30:00,Own Channel,Sell Adslot,,29794
2024-10-01 09:00:00_Own Channel_Show Movie,2024-10-01 09:00:00,Own Channel,Show Movie,X-Men: Days of Future Past,
2024-10-01 09:00:00_Own Channel_Sell Adslot,2024-10-01 09:00:00,Own Channel,Sell Adslot,,28966
2024-10-01 09:30:00_Own Channel_Show Movie,2024-10-01 09:30:00,Own Channel,Show Movie,X-Men: Days of Future Past,
2024-10-01 09:30:00_Own Channel_Sell Adslot,2024-10-01 09:30:00,Own Channel,Sell Adslot,,30245
2024-10-01 10:00:00_Own Channel_Show Movie,2024-10-01 10:00:00,Own Channel,Show Movie,X-Men: Days of Future Past,
2024-10-01 10:00:00_Own Channel_Sell Adslot,2024-10-01 10:00:00,Own Channel,Sell Adslot,,33255
2024-10-01 10:30:00_Own Channel_Show Movie,2024-10-01 10:30:00,Own Channel,Show Movie,X-Men: Days of Future Past,
2024-10-01 10:30:00_Own Channel_Sell Adslot,2024-10-01 10:30:00,Own Channel,Sell Adslot,,37431
2024-10-01 11:00:00_Own Channel_Show Movie,2024-10-01 11:00:00,Own Channel,Show Movie,The Twilight Saga: Breaking Dawn - Part 2,
2024-10-01 11:00:00_Own Channel_Sell Adslot,2024-10-01 11:00:00,Own Channel,Sell Adslot,,85528
2024-10-01 11:30:00_Own Channel_Show Movie,2024-10-01 11:30:00,Own Channel,Show Movie,The Twilight Saga: Breaking Dawn - Part 2,
2024-10-01 11:30:00_Own Channel_Sell Adslot,2024-10-01 11:30:00,Own Channel,Sell Adslot,,92203
2024-10-01 12:00:00_Own Channel_Show Movie,2024-10-01 12:00:00,Own Channel,Show Movie,The Twilight Saga: Breaking Dawn - Part 2,
2024-10-01 12:00:00_Own Channel_Sell Adslot,2024-10-01 12:00:00,Own Channel,Sell Adslot,,99543
2024-10-01 12:30:00_Own Channel_Show Movie,2024-10-01 12:30:00,Own Channel,Show Movie,The Twilight Saga: Breaking Dawn - Part 2,
2024-10-01 12:30:00_Own Channel_Sell Adslot,2024-10-01 12:30:00,Own Channel,Sell Adslot,,107519
2024-10-01 13:00:00_Own Channel_Show Movie,2024-10-01 13:00:00,Own Channel,Show Movie,Spider-Man,
2024-10-01 13:00:00_Own Channel_Sell Adslot,2024-10-01 13:00:00,Own Channel,Sell Adslot,,83694
2024-10-01 13:30:00_Own Channel_Show Movie,2024-10-01 13:30:00,Own Channel,Show Movie,Spider-Man,
2024-10-01 13:30:00_Own Channel_Sell Adslot,2024-10-01 13:30:00,Own Channel,Sell Adslot,,92397
2024-10-01 14:00:00_Own Channel_Show Movie,2024-10-01 14:00:00,Own Channel,Show Movie,Spider-Man,
2024-10-01 14:00:00_Own Channel_Sell Adslot,2024-10-01 14:00:00,Own Channel,Sell Adslot,,101842
2024-10-01 14:30:00_Own Channel_Show Movie,2024-10-01 14:30:00,Own Channel,Show Movie,Spider-Man,
2024-10-01 14:30:00_Own Channel_Sell Adslot,2024-10-01 14:30:00,Own Channel,Sell Adslot,,111877
2024-10-01 15:00:00_Own Channel_Show Movie,2024-10-01 15:00:00,Own Channel,Show Movie,Spider-Man,
2024-10-01 15:00:00_Own Channel_Sell Adslot,2024-10-01 15:00:00,Own Channel,Sell Adslot,,122172
2024-10-01 15:30:00_Own Channel_Show Movie,2024-10-01 15:30:00,Own Channel,Show Movie,The Twilight Saga: Eclipse,
2024-10-01 15:30:00_Own Channel_Sell Adslot,2024-10-01 15:30:00,Own Channel,Sell Adslot,,206398
