title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres,n_ad_breaks,runtime_with_ads,scaled_popularity,children_scaled_popularity,adults_scaled_popularity,retirees_scaled_popularity,license_fee
Aquaman,6.9,12965,2018-12-07,1148528393,143,160000000,52.471,"['Action', 'Adventure', 'Fantasy']",5,180.0,0.8335128559307043,0.8335129,0.8335129,0.3334051,1774234.07
Spider-Man 2,7.258,14096,2004-06-25,788976453,127,200000000,24.172,"['Action', 'Adventure', 'Fantasy']",5,150.0,0.5704319594881414,0.570432,0.570432,0.2281728,1438771.74
Transformers: Revenge of the Fallen,6.2,7939,2009-06-19,836303693,149,200000000,14.169,"['Science Fiction', 'Action', 'Adventure']",5,180.0,0.3574172462233532,0.2859338,0.3574172,0.1429669,1495564.43
The Hunger Games,7.193,20636,2012-03-12,694394724,142,75000000,29.577,"['Science Fiction', 'Adventure', 'Fantasy']",5,180.0,0.6436739522089213,0.5149392,0.643674,0.2574696,1025273.67
The Matrix Reloaded,7.039,10128,2003-05-15,738599701,138,150000000,44.605,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",5,150.0,0.7822511981589693,0.625801,0.7822512,0.3129005,1258319.64
Ice Age: Continental Drift,6.36,7038,2012-06-27,877244782,88,95000000,53.054,"['Animation', 'Comedy', 'Adventure', 'Family']",3,90.0,0.8369332679376715,0.8369333,0.50216,0.50216,1292693.74
Shrek 2,7.249,11323,2004-05-19,928760770,93,150000000,82.153,"['Animation', 'Family', 'Comedy', 'Fantasy', 'Adventure']",4,120.0,0.9659401531874688,0.9659402,0.7727521,0.5795641,1486512.92
The Amazing Spider-Man,6.691,16352,2012-06-23,757930663,136,215000000,78.989,"['Action', 'Adventure', 'Fantasy']",5,150.0,0.9548339167054872,0.9548339,0.9548339,0.3819336,1437516.8
Incredibles 2,7.481,12061,2018-06-14,1242805359,118,200000000,49.215,"['Action', 'Adventure', 'Animation', 'Family']",4,150.0,0.8135161116474916,0.8135161,0.4881097,0.3254064,1983366.43
Terminator 3: Rise of the Machines,6.145,6098,2003-07-02,435000000,109,200000000,36.434,"['Action', 'Thriller', 'Science Fiction']",4,120.0,0.7156736802725192,0.4294042,0.7156737,0.2862695,1014000.0
Monsters University,7.0,9903,2013-06-19,743559607,104,200000000,44.116,"['Animation', 'Family']",4,120.0,0.7787034190599598,0.7787034,0.3114814,0.3114814,1384271.53
Oz the Great and Powerful,5.903,6232,2013-03-07,491868548,130,200000000,29.84,"['Fantasy', 'Adventure', 'Family']",5,150.0,0.6468047420295151,0.6468047,0.5174438,0.2587219,1082242.26
Star Wars: Episode III - Revenge of the Sith,7.411,12753,2005-05-17,850000000,140,113000000,41.215,"['Adventure', 'Action', 'Science Fiction']",5,180.0,0.7566129252969219,0.6052903,0.7566129,0.3026452,1303200.0
Despicable Me 2,6.916,10523,2013-06-26,970761885,98,76000000,46.283,"['Animation', 'Comedy', 'Family']",4,120.0,0.7940718267658745,0.7940718,0.4764431,0.6352575,1359314.26
The Twilight Saga: Breaking Dawn - Part 1,6.201,8228,2011-11-16,712171856,117,110000000,79.868,"['Adventure', 'Fantasy', 'Romance']",4,150.0,0.9579724997501894,0.766378,0.9579725,0.5747835,1130606.23
Despicable Me 3,6.451,6560,2017-06-15,1031552585,90,80000000,29.104,"['Action', 'Animation', 'Comedy', 'Family', 'Adventure']",4,120.0,0.6379552661343509,0.6379553,0.5103642,0.3827732,1441863.1
Rogue One: A Star Wars Story,7.488,14354,2016-12-14,1056057273,133,200000000,33.1,"['Action', 'Adventure', 'Science Fiction']",5,150.0,0.6829791604959055,0.5463833,0.6829792,0.2731917,1759268.73
Mission: Impossible - Ghost Protocol,7.069,9215,2011-12-07,694713380,133,145000000,59.649,"['Action', 'Thriller', 'Adventure']",5,150.0,0.872695808030709,0.6981566,0.8726958,0.3490783,1193656.06
No Time to Die,7.402,5502,2021-09-29,774153007,163,250000000,51.295,"['Action', 'Thriller', 'Romance']",6,180.0,0.8264699039056459,0.4958819,0.8264699,0.4958819,1540983.61
Thor: The Dark World,6.538,16359,2013-10-30,644783140,112,170000000,59.968,"['Action', 'Adventure', 'Fantasy']",4,120.0,0.8743021391942887,0.8743021,0.8743021,0.3497209,1193739.77
Life of Pi,7.398,12426,2012-11-20,609016565,127,120000000,37.796,"['Adventure', 'Drama']",5,150.0,0.727982637719764,0.5823861,0.7279826,0.5823861,1030819.88
