ID,Date-Time,Channel,Action,Movie Title,Viewerships
Cost,N/A,N/A,Total Cost,N/A,19562303.28
2024-10-01 07:00:00_Own Channel_Show Movie,2024-10-01 07:00:00,Own Channel,Show Movie,F9,
2024-10-01 07:00:00_Own Channel_Sell Adslot,2024-10-01 07:00:00,Own Channel,Sell Adslot,,32596
2024-10-01 07:30:00_Own Channel_Show Movie,2024-10-01 07:30:00,Own Channel,Show Movie,F9,
2024-10-01 07:30:00_Own Channel_Sell Adslot,2024-10-01 07:30:00,Own Channel,Sell Adslot,,32330
2024-10-01 08:00:00_Own Channel_Show Movie,2024-10-01 08:00:00,Own Channel,Show Movie,F9,
2024-10-01 08:00:00_Own Channel_Sell Adslot,2024-10-01 08:00:00,Own Channel,Sell Adslot,,30607
2024-10-01 08:30:00_Own Channel_Show Movie,2024-10-01 08:30:00,Own Channel,Show Movie,F9,
2024-10-01 08:30:00_Own Channel_Sell Adslot,2024-10-01 08:30:00,Own Channel,Sell Adslot,,28655
2024-10-01 09:00:00_Own Channel_Show Movie,2024-10-01 09:00:00,Own Channel,Show Movie,F9,
2024-10-01 09:00:00_Own Channel_Sell Adslot,2024-10-01 09:00:00,Own Channel,Sell Adslot,,28153
2024-10-01 09:30:00_Own Channel_Show Movie,2024-10-01 09:30:00,Own Channel,Show Movie,F9,
2024-10-01 09:30:00_Own Channel_Sell Adslot,2024-10-01 09:30:00,Own Channel,Sell Adslot,,29649
2024-10-01 10:00:00_Own Channel_Show Movie,2024-10-01 10:00:00,Own Channel,Show Movie,Venom,
2024-10-01 10:00:00_Own Channel_Advertise Movie,2024-10-01 10:00:00,Own Channel,Advertise Movie,World War Z,
2024-10-01 10:30:00_Own Channel_Show Movie,2024-10-01 10:30:00,Own Channel,Show Movie,Venom,
2024-10-01 10:30:00_Own Channel_Advertise Movie,2024-10-01 10:30:00,Own Channel,Advertise Movie,Kung Fu Panda,
2024-10-01 11:00:00_Own Channel_Show Movie,2024-10-01 11:00:00,Own Channel,Show Movie,Venom,
2024-10-01 11:00:00_Own Channel_Advertise Movie,2024-10-01 11:00:00,Own Channel,Advertise Movie,Men in Black 3,
2024-10-01 11:30:00_Own Channel_Show Movie,2024-10-01 11:30:00,Own Channel,Show Movie,Venom,
2024-10-01 11:30:00_Own Channel_Advertise Movie,2024-10-01 11:30:00,Own Channel,Advertise Movie,The Da Vinci Code,
2024-10-01 12:00:00_Own Channel_Advertise Movie,2024-10-01 12:00:00,Own Channel,Advertise Movie,World War Z,
2024-10-01 12:00:00_Own Channel_Show Movie,2024-10-01 12:00:00,Own Channel,Show Movie,Mission: Impossible - Fallout,
2024-10-01 12:30:00_Own Channel_Advertise Movie,2024-10-01 12:30:00,Own Channel,Advertise Movie,Kung Fu Panda,
2024-10-01 12:30:00_Own Channel_Show Movie,2024-10-01 12:30:00,Own Channel,Show Movie,Mission: Impossible - Fallout,
2024-10-01 13:00:00_Own Channel_Advertise Movie,2024-10-01 13:00:00,Own Channel,Advertise Movie,The Da Vinci Code,
2024-10-01 13:00:00_Own Channel_Show Movie,2024-10-01 13:00:00,Own Channel,Show Movie,Mission: Impossible - Fallout,
2024-10-01 13:30:00_Own Channel_Show Movie,2024-10-01 13:30:00,Own Channel,Show Movie,Mission: Impossible - Fallout,
2024-10-01 13:30:00_Own Channel_Advertise Movie,2024-10-01 13:30:00,Own Channel,Advertise Movie,Quantum of Solace,
2024-10-01 14:00:00_Own Channel_Advertise Movie,2024-10-01 14:00:00,Own Channel,Advertise Movie,Men in Black 3,
2024-10-01 14:00:00_Own Channel_Show Movie,2024-10-01 14:00:00,Own Channel,Show Movie,Mission: Impossible - Fallout,
2024-10-01 14:30:00_Own Channel_Advertise Movie,2024-10-01 14:30:00,Own Channel,Advertise Movie,Kung Fu Panda,
2024-10-01 14:30:00_Own Channel_Show Movie,2024-10-01 14:30:00,Own Channel,Show Movie,Mission: Impossible - Fallout,
2024-10-01 15:00:00_Own Channel_Show Movie,2024-10-01 15:00:00,Own Channel,Show Movie,The Da Vinci Code,
2024-10-01 15:00:00_Own Channel_Sell Adslot,2024-10-01 15:00:00,Own Channel,Sell Adslot,,143650
2024-10-01 15:30:00_Own Channel_Show Movie,2024-10-01 15:30:00,Own Channel,Show Movie,The Da Vinci Code,
