title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres,n_ad_breaks,runtime_with_ads,scaled_popularity,children_scaled_popularity,adults_scaled_popularity,retirees_scaled_popularity,license_fee
Avengers: Age of Ultron,7.276,21754,2015-04-22,1405403694,141,365000000,96.565,"['Action', 'Adventure', 'Science Fiction']",5,180.0,1.0,0.8,1.0,0.4,2574484.43
Captain America: Civil War,7.4,21541,2016-04-27,1155046416,147,250000000,70.741,"['Adventure', 'Action', 'Science Fiction']",5,180.0,0.9231586328030276,0.7385269,0.9231586,0.3692635,1998055.7
Doctor Strange,7.427,20935,2016-10-25,676343174,115,180000000,70.535,"['Action', 'Adventure', 'Fantasy']",4,120.0,0.9223110503699402,0.9223111,0.9223111,0.3689244,1255611.81
Spider-Man: Homecoming,7.345,20507,2017-07-05,880166924,133,175000000,65.88,"['Action', 'Adventure', 'Science Fiction', 'Drama']",5,150.0,0.9023177139658618,0.7218542,0.9023177,0.5413906,1488200.31
Iron Man 2,6.835,19756,2010-04-28,623933331,124,200000000,84.445,"['Adventure', 'Action', 'Science Fiction']",5,150.0,0.9736682105865636,0.7789346,0.9736682,0.3894673,1240720.0
Star Wars: The Force Awakens,7.293,18352,2015-12-15,2068223624,136,245000000,66.772,"['Adventure', 'Action', 'Science Fiction']",5,150.0,0.9062790461419176,0.7250232,0.906279,0.3625116,3081868.35
The Hobbit: An Unexpected Journey,7.339,17356,2012-12-12,1021103568,169,250000000,83.524,"['Adventure', 'Fantasy', 'Action']",6,210.0,0.9705935642364268,0.9705936,0.9705936,0.3882374,1837324.28
Batman v Superman: Dawn of Justice,5.952,17081,2016-03-23,873637528,152,250000000,78.589,"['Action', 'Adventure', 'Fantasy']",6,180.0,0.9533916773822058,0.9533917,0.9533917,0.3813567,1660365.03
The Amazing Spider-Man,6.691,16352,2012-06-23,757930663,136,215000000,78.989,"['Action', 'Adventure', 'Fantasy']",5,150.0,0.9548339167054872,0.9548339,0.9548339,0.3819336,1437516.8
Deadpool 2,7.492,16324,2018-05-10,785896609,120,110000000,66.096,"['Action', 'Comedy', 'Adventure']",5,150.0,0.9032829057885218,0.9032829,0.9032829,0.5419697,1219075.93
Frozen,7.2,15520,2013-11-20,1274219009,102,150000000,85.794,"['Animation', 'Family', 'Adventure', 'Fantasy']",4,120.0,0.9780995060790668,0.9780995,0.5868597,0.3912398,1901062.81
Pirates of the Caribbean: Dead Man's Chest,7.346,14868,2006-07-06,1065659812,151,200000000,69.403,"['Adventure', 'Fantasy', 'Action']",6,180.0,0.9175993410763902,0.9175993,0.9175993,0.3670397,1770791.77
The Hunger Games: Mockingjay - Part 1,6.796,14725,2014-11-19,755356711,123,125000000,85.889,"['Science Fiction', 'Adventure', 'Thriller']",5,150.0,0.9784084022656624,0.587045,0.9784084,0.3913634,1218428.05
Pirates of the Caribbean: At World's End,7.239,13345,2007-05-19,961000000,169,300000000,81.883,"['Adventure', 'Fantasy', 'Action']",6,210.0,0.9650126903614762,0.9650127,0.9650127,0.3860051,1885200.0
The Hobbit: The Battle of the Five Armies,7.309,13301,2014-12-10,956019788,144,250000000,94.048,"['Action', 'Adventure', 'Fantasy']",5,180.0,1.0,1.0,1.0,0.4,1759223.75
Pirates of the Caribbean: On Stranger Tides,6.538,13126,2011-05-15,1045713802,137,379000000,79.192,"['Adventure', 'Action', 'Fantasy']",5,150.0,0.9555624850881936,0.9555625,0.9555625,0.382225,2176456.56
The Amazing Spider-Man 2,6.498,12349,2014-04-16,708962323,141,200000000,73.319,"['Action', 'Adventure', 'Fantasy']",5,180.0,0.933519610837854,0.9335196,0.9335196,0.3734078,1342754.79
Justice League,6.098,12263,2017-11-15,657926987,120,300000000,91.091,"['Action', 'Adventure', 'Science Fiction']",5,150.0,0.994721739139952,0.7957774,0.9947217,0.3978887,1521512.38
