title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres,n_ad_breaks,runtime_with_ads,scaled_popularity,children_scaled_popularity,adults_scaled_popularity,retirees_scaled_popularity,license_fee
Captain America: The First Avenger,6.995,20269,2011-07-22,370569774,124,140000000,43.665,"['Action', 'Adventure', 'Science Fiction']",5,150.0,0.7753882674797583,0.6203106,0.7753883,0.3101553,792683.73
Thor,6.768,20023,2011-04-21,449326618,115,150000000,51.277,"['Adventure', 'Fantasy', 'Action']",4,120.0,0.8263605744941432,0.8263606,0.8263606,0.3305442,911191.94
Ant-Man,7.082,18730,2015-07-14,519311965,117,130000000,37.692,"['Science Fiction', 'Action', 'Adventure']",4,150.0,0.7270621803079881,0.5816497,0.7270622,0.2908249,947174.36
It,7.242,18018,2017-09-06,701800000,135,40000000,74.73,"['Horror', 'Fantasy']",5,150.0,0.939005538740771,0.7512044,0.9390055,0.3756022,950160.0
John Wick,7.421,17923,2014-10-22,88761661,101,20000000,55.739,"['Action', 'Thriller']",4,120.0,0.852114244742117,0.6816914,0.8521142,0.3408457,166513.99
The Revenant,7.5,17114,2015-12-25,532950503,157,135000000,36.747,"['Western', 'Drama', 'Adventure']",6,180.0,0.7185521055901447,0.4311313,0.5748417,0.5748417,975540.6
Split,7.337,16345,2017-01-19,278454358,117,9000000,44.51,"['Horror', 'Thriller']",4,150.0,0.7815657049990276,0.3126263,0.7815657,0.3126263,367745.23
The Maze Runner,7.173,15901,2014-09-10,348319861,113,34000000,83.206,"['Action', 'Mystery', 'Science Fiction', 'Thriller']",4,120.0,0.9695224590117156,0.5817135,0.9695225,0.5817135,511583.83
The Hangover,7.312,15812,2009-06-02,469310836,100,35000000,72.655,['Comedy'],4,120.0,0.9308936300950073,0.9308936,0.9308936,0.9308936,659173.0
Lucy,6.44,15181,2014-07-25,458863600,89,40000000,33.913,"['Action', 'Science Fiction']",3,90.0,0.6913161370353373,0.5530529,0.6913161,0.2765265,658636.32
Now You See Me,7.345,14726,2013-05-29,351723989,116,75000000,45.241,"['Thriller', 'Crime']",4,150.0,0.7867947127245531,0.3147179,0.7867947,0.6294358,614068.79
Baby Driver,7.5,14634,2017-06-28,226945087,113,34000000,44.974,"['Action', 'Crime']",4,120.0,0.7848968993423544,0.6279175,0.7848969,0.6279175,365934.1
Despicable Me,7.227,14147,2010-07-08,533679475,95,69000000,47.416,"['Family', 'Animation', 'Comedy']",4,120.0,0.8017599216149847,0.8017599,0.481056,0.6414079,818015.37
Charlie and the Chocolate Factory,7.04,13967,2005-07-13,474968763,115,150000000,60.854,"['Adventure', 'Comedy', 'Family', 'Fantasy']",4,120.0,0.8787096298209369,0.8787096,0.7029677,0.5272258,941962.52
Sherlock Holmes,7.202,13170,2009-12-23,524028679,129,90000000,35.808,"['Action', 'Adventure', 'Crime', 'Mystery']",5,150.0,0.7098241180722761,0.5678593,0.7098241,0.5678593,856834.41
A Quiet Place,7.396,13079,2018-04-03,341000000,91,17000000,38.002,"['Horror', 'Drama', 'Science Fiction']",4,120.0,0.7297966621549568,0.2919187,0.7297967,0.437878,462000.0
Cars,6.936,12906,2006-06-08,461983149,117,120000000,47.447,"['Animation', 'Adventure', 'Comedy', 'Family']",4,150.0,0.8019671029922737,0.8019671,0.4811803,0.4811803,854379.78
