Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,Horror,Romance,Science Fiction,Thriller
1,1,0,0,0,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,0,0,1,0
1,1,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,1,0,0,0,0,1,0
1,1,0,0,0,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,0,0,1,0
1,1,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0
1,1,0,1,0,0,0,0,0,0,0,0
0,1,1,0,0,0,1,1,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,0,0,1,0
0,1,1,1,0,0,1,1,0,0,0,0
0,1,0,0,0,0,1,1,0,0,0,0
0,1,0,0,0,0,1,1,0,1,0,0
0,1,1,1,0,0,1,1,0,0,0,0
1,1,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,1,0,1,0,0
1,1,0,0,0,0,0,1,0,0,0,0
0,1,1,1,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,1,0
0,1,1,1,0,0,1,1,0,0,0,0
1,1,0,1,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,0,0,1,0
0,1,0,1,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,1
0,0,1,1,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,1,1,0,1,0,0
1,1,0,0,0,0,0,0,0,0,0,0
