title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres,n_ad_breaks,runtime_with_ads,scaled_popularity,children_scaled_popularity,adults_scaled_popularity,retirees_scaled_popularity,license_fee
Lake Placid,5.885,1019,1999-07-15,56870414,82,27000000,18.329,"['Horror', 'Comedy', 'Action', 'Science Fiction', 'Thriller']",3,90.0,0.4637728225720888,0.2782637,0.4637728,0.2782637,145044.5
Much Ado About Nothing,6.929,649,1993-05-07,22551000,111,11000000,17.27,"['Drama', 'Comedy', 'Romance']",4,120.0,0.4398226836341633,0.2638936,0.4398227,0.4398227,65461.2
My Sister's Keeper,7.36,1952,2009-06-26,95714875,109,30000000,20.625,['Drama'],4,120.0,0.5101875721213497,0.204075,0.5101876,0.5101876,198857.85
The Fault in Our Stars,7.598,10655,2014-05-16,307166834,126,14000000,30.209,"['Romance', 'Drama']",5,150.0,0.6511400441456057,0.260456,0.65114,0.65114,414200.2
Event Horizon,6.528,2516,1997-08-15,26673242,96,60000000,27.847,"['Horror', 'Science Fiction', 'Mystery']",4,120.0,0.6221784606818558,0.2488714,0.6221785,0.3733071,188007.89
Virus,5.358,530,1999-01-14,30700000,99,75000000,13.383,"['Horror', 'Action', 'Science Fiction']",4,120.0,0.3328338761808748,0.1997003,0.3328339,0.1331336,228840.0
8 Heads in a Duffel Bag,4.99,143,1997-04-18,3602884,95,3000000,12.019,"['Comedy', 'Crime']",4,120.0,0.2854849034412275,0.2283879,0.2854849,0.2854849,23523.46
While You Were Sleeping,6.963,1569,1995-04-21,182057016,103,17000000,17.378,"['Romance', 'Comedy']",4,120.0,0.4423490066211804,0.3538792,0.442349,0.442349,271268.42
Mr. Magoo,4.418,348,1997-12-25,75000000,84,30000000,11.477,"['Comedy', 'Family']",3,90.0,0.2647299017897836,0.2647299,0.2117839,0.2647299,174000.0
Bio-Dome,4.538,327,1996-01-12,13400000,95,8500000,10.093,['Comedy'],4,120.0,0.2055201111707624,0.2055201,0.2055201,0.2055201,48480.0
