ID,Date-Time,Channel,Action,Movie Title,Viewerships
Cost,N/A,N/A,Total Cost,N/A,28731757.56
2024-10-05 07:00:00_Own Channel_Show Movie,2024-10-05 07:00:00,Own Channel,Show Movie,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",
2024-10-05 07:00:00_Own Channel_Advertise Movie,2024-10-05 07:00:00,Own Channel,Advertise Movie,Indiana Jones and the Dial of Destiny,
2024-10-05 07:30:00_Own Channel_Show Movie,2024-10-05 07:30:00,Own Channel,Show Movie,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",
2024-10-05 07:30:00_Own Channel_Advertise Movie,2024-10-05 07:30:00,Own Channel,Advertise Movie,Indiana Jones and the Dial of Destiny,
2024-10-05 08:00:00_Own Channel_Show Movie,2024-10-05 08:00:00,Own Channel,Show Movie,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",
2024-10-05 08:00:00_Own Channel_Advertise Movie,2024-10-05 08:00:00,Own Channel,Advertise Movie,Indiana Jones and the Dial of Destiny,
2024-10-05 08:30:00_Own Channel_Show Movie,2024-10-05 08:30:00,Own Channel,Show Movie,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",
2024-10-05 08:30:00_Own Channel_Advertise Movie,2024-10-05 08:30:00,Own Channel,Advertise Movie,Indiana Jones and the Dial of Destiny,
2024-10-05 09:00:00_Own Channel_Show Movie,2024-10-05 09:00:00,Own Channel,Show Movie,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",
2024-10-05 09:00:00_Own Channel_Advertise Movie,2024-10-05 09:00:00,Own Channel,Advertise Movie,Indiana Jones and the Dial of Destiny,
2024-10-05 09:30:00_Own Channel_Show Movie,2024-10-05 09:30:00,Own Channel,Show Movie,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",
2024-10-05 09:30:00_Own Channel_Advertise Movie,2024-10-05 09:30:00,Own Channel,Advertise Movie,Star Wars: The Rise of Skywalker,
2024-10-05 10:00:00_Own Channel_Advertise Movie,2024-10-05 10:00:00,Own Channel,Advertise Movie,Star Wars: The Rise of Skywalker,
2024-10-05 10:00:00_Own Channel_Show Movie,2024-10-05 10:00:00,Own Channel,Show Movie,Thor: Love and Thunder,
2024-10-05 10:30:00_Own Channel_Advertise Movie,2024-10-05 10:30:00,Own Channel,Advertise Movie,Star Wars: The Rise of Skywalker,
2024-10-05 10:30:00_Own Channel_Show Movie,2024-10-05 10:30:00,Own Channel,Show Movie,Thor: Love and Thunder,
2024-10-05 11:00:00_Own Channel_Advertise Movie,2024-10-05 11:00:00,Own Channel,Advertise Movie,Star Wars: The Rise of Skywalker,
2024-10-05 11:00:00_Own Channel_Show Movie,2024-10-05 11:00:00,Own Channel,Show Movie,Thor: Love and Thunder,
2024-10-05 11:30:00_Own Channel_Advertise Movie,2024-10-05 11:30:00,Own Channel,Advertise Movie,Star Wars: The Rise of Skywalker,
2024-10-05 11:30:00_Own Channel_Show Movie,2024-10-05 11:30:00,Own Channel,Show Movie,Thor: Love and Thunder,
2024-10-05 12:00:00_Own Channel_Advertise Movie,2024-10-05 12:00:00,Own Channel,Advertise Movie,Star Wars: The Rise of Skywalker,
2024-10-05 12:00:00_Own Channel_Show Movie,2024-10-05 12:00:00,Own Channel,Show Movie,Thor: Love and Thunder,
2024-10-05 12:30:00_Own Channel_Show Movie,2024-10-05 12:30:00,Own Channel,Show Movie,Deadpool 2,
2024-10-05 12:30:00_Own Channel_Advertise Movie,2024-10-05 12:30:00,Own Channel,Advertise Movie,Star Wars: The Rise of Skywalker,
2024-10-05 13:00:00_Own Channel_Show Movie,2024-10-05 13:00:00,Own Channel,Show Movie,Deadpool 2,
2024-10-05 13:00:00_Own Channel_Advertise Movie,2024-10-05 13:00:00,Own Channel,Advertise Movie,Star Wars: The Rise of Skywalker,
2024-10-05 13:30:00_Own Channel_Show Movie,2024-10-05 13:30:00,Own Channel,Show Movie,Deadpool 2,
2024-10-05 13:30:00_Own Channel_Advertise Movie,2024-10-05 13:30:00,Own Channel,Advertise Movie,Star Wars: The Rise of Skywalker,
2024-10-05 14:00:00_Own Channel_Show Movie,2024-10-05 14:00:00,Own Channel,Show Movie,Deadpool 2,
2024-10-05 14:00:00_Own Channel_Advertise Movie,2024-10-05 14:00:00,Own Channel,Advertise Movie,Justice League,
2024-10-05 14:30:00_Own Channel_Show Movie,2024-10-05 14:30:00,Own Channel,Show Movie,Deadpool 2,
2024-10-05 14:30:00_Own Channel_Advertise Movie,2024-10-05 14:30:00,Own Channel,Advertise Movie,Indiana Jones and the Dial of Destiny,
2024-10-05 15:00:00_Own Channel_Advertise Movie,2024-10-05 15:00:00,Own Channel,Advertise Movie,The Amazing Spider-Man,
2024-10-05 15:00:00_Own Channel_Show Movie,2024-10-05 15:00:00,Own Channel,Show Movie,Fast X,
2024-10-05 15:30:00_Own Channel_Advertise Movie,2024-10-05 15:30:00,Own Channel,Advertise Movie,The Amazing Spider-Man,
2024-10-05 15:30:00_Own Channel_Show Movie,2024-10-05 15:30:00,Own Channel,Show Movie,Fast X,
2024-10-05 16:00:00_Own Channel_Advertise Movie,2024-10-05 16:00:00,Own Channel,Advertise Movie,The Amazing Spider-Man,
2024-10-05 16:00:00_Own Channel_Show Movie,2024-10-05 16:00:00,Own Channel,Show Movie,Fast X,
2024-10-05 16:30:00_Own Channel_Advertise Movie,2024-10-05 16:30:00,Own Channel,Advertise Movie,The Amazing Spider-Man,
2024-10-05 16:30:00_Own Channel_Show Movie,2024-10-05 16:30:00,Own Channel,Show Movie,Fast X,
2024-10-05 17:00:00_Own Channel_Advertise Movie,2024-10-05 17:00:00,Own Channel,Advertise Movie,The Amazing Spider-Man,
2024-10-05 17:00:00_Own Channel_Show Movie,2024-10-05 17:00:00,Own Channel,Show Movie,Fast X,
2024-10-05 17:30:00_Own Channel_Show Movie,2024-10-05 17:30:00,Own Channel,Show Movie,Fast X,
2024-10-05 17:30:00_Own Channel_Advertise Movie,2024-10-05 17:30:00,Own Channel,Advertise Movie,Indiana Jones and the Dial of Destiny,
2024-10-05 18:00:00_Own Channel_Show Movie,2024-10-05 18:00:00,Own Channel,Show Movie,Ant-Man and the Wasp: Quantumania,
2024-10-05 18:00:00_Own Channel_Advertise Movie,2024-10-05 18:00:00,Own Channel,Advertise Movie,Indiana Jones and the Dial of Destiny,
2024-10-05 18:30:00_Own Channel_Show Movie,2024-10-05 18:30:00,Own Channel,Show Movie,Ant-Man and the Wasp: Quantumania,
2024-10-05 18:30:00_Own Channel_Advertise Movie,2024-10-05 18:30:00,Own Channel,Advertise Movie,Indiana Jones and the Dial of Destiny,
2024-10-05 19:00:00_Own Channel_Show Movie,2024-10-05 19:00:00,Own Channel,Show Movie,Ant-Man and the Wasp: Quantumania,
2024-10-05 19:00:00_Own Channel_Advertise Movie,2024-10-05 19:00:00,Own Channel,Advertise Movie,Indiana Jones and the Dial of Destiny,
2024-10-05 19:30:00_Own Channel_Advertise Movie,2024-10-05 19:30:00,Own Channel,Advertise Movie,Doctor Strange,
2024-10-05 19:30:00_Own Channel_Show Movie,2024-10-05 19:30:00,Own Channel,Show Movie,Ant-Man and the Wasp: Quantumania,
2024-10-05 20:00:00_Own Channel_Advertise Movie,2024-10-05 20:00:00,Own Channel,Advertise Movie,Star Wars: The Rise of Skywalker,
2024-10-05 20:00:00_Own Channel_Show Movie,2024-10-05 20:00:00,Own Channel,Show Movie,Ant-Man and the Wasp: Quantumania,
2024-10-05 20:30:00_Own Channel_Show Movie,2024-10-05 20:30:00,Own Channel,Show Movie,Cars 2,
2024-10-05 20:30:00_Own Channel_Sell Adslot,2024-10-05 20:30:00,Own Channel,Sell Adslot,,85257
2024-10-05 21:00:00_Own Channel_Advertise Movie,2024-10-05 21:00:00,Own Channel,Advertise Movie,Avengers: Age of Ultron,
2024-10-05 21:00:00_Own Channel_Show Movie,2024-10-05 21:00:00,Own Channel,Show Movie,Cars 2,
2024-10-05 21:30:00_Own Channel_Advertise Movie,2024-10-05 21:30:00,Own Channel,Advertise Movie,Avengers: Age of Ultron,
2024-10-05 21:30:00_Own Channel_Show Movie,2024-10-05 21:30:00,Own Channel,Show Movie,Cars 2,
2024-10-05 22:00:00_Own Channel_Advertise Movie,2024-10-05 22:00:00,Own Channel,Advertise Movie,Avengers: Age of Ultron,
2024-10-05 22:00:00_Own Channel_Show Movie,2024-10-05 22:00:00,Own Channel,Show Movie,Cars 2,
2024-10-05 22:30:00_Own Channel_Advertise Movie,2024-10-05 22:30:00,Own Channel,Advertise Movie,Star Wars: The Rise of Skywalker,
2024-10-05 22:30:00_Own Channel_Show Movie,2024-10-05 22:30:00,Own Channel,Show Movie,Minions: The Rise of Gru,
2024-10-05 23:00:00_Own Channel_Advertise Movie,2024-10-05 23:00:00,Own Channel,Advertise Movie,Star Wars: The Rise of Skywalker,
2024-10-05 23:00:00_Own Channel_Show Movie,2024-10-05 23:00:00,Own Channel,Show Movie,Minions: The Rise of Gru,
2024-10-05 23:30:00_Own Channel_Advertise Movie,2024-10-05 23:30:00,Own Channel,Advertise Movie,Avengers: Age of Ultron,
2024-10-05 23:30:00_Own Channel_Show Movie,2024-10-05 23:30:00,Own Channel,Show Movie,Minions: The Rise of Gru,
2024-10-06 07:00:00_Own Channel_Show Movie,2024-10-06 07:00:00,Own Channel,Show Movie,Avengers: Age of Ultron,
2024-10-06 07:00:00_Own Channel_Sell Adslot,2024-10-06 07:00:00,Own Channel,Sell Adslot,,455801
2024-10-06 07:30:00_Own Channel_Show Movie,2024-10-06 07:30:00,Own Channel,Show Movie,Avengers: Age of Ultron,
2024-10-06 07:30:00_Own Channel_Sell Adslot,2024-10-06 07:30:00,Own Channel,Sell Adslot,,455362
2024-10-06 08:00:00_Own Channel_Show Movie,2024-10-06 08:00:00,Own Channel,Show Movie,Avengers: Age of Ultron,
2024-10-06 08:00:00_Own Channel_Sell Adslot,2024-10-06 08:00:00,Own Channel,Sell Adslot,,453016
2024-10-06 08:30:00_Own Channel_Show Movie,2024-10-06 08:30:00,Own Channel,Show Movie,Avengers: Age of Ultron,
2024-10-06 08:30:00_Own Channel_Sell Adslot,2024-10-06 08:30:00,Own Channel,Sell Adslot,,450338
2024-10-06 09:00:00_Own Channel_Show Movie,2024-10-06 09:00:00,Own Channel,Show Movie,Avengers: Age of Ultron,
2024-10-06 09:00:00_Own Channel_Sell Adslot,2024-10-06 09:00:00,Own Channel,Sell Adslot,,449393
2024-10-06 09:30:00_Own Channel_Show Movie,2024-10-06 09:30:00,Own Channel,Show Movie,Avengers: Age of Ultron,
2024-10-06 09:30:00_Own Channel_Sell Adslot,2024-10-06 09:30:00,Own Channel,Sell Adslot,,450853
2024-10-06 10:00:00_Own Channel_Show Movie,2024-10-06 10:00:00,Own Channel,Show Movie,Justice League,
2024-10-06 10:00:00_Own Channel_Advertise Movie,2024-10-06 10:00:00,Own Channel,Advertise Movie,Star Wars: The Rise of Skywalker,
2024-10-06 10:30:00_Own Channel_Show Movie,2024-10-06 10:30:00,Own Channel,Show Movie,Justice League,
2024-10-06 10:30:00_Own Channel_Sell Adslot,2024-10-06 10:30:00,Own Channel,Sell Adslot,,121304
2024-10-06 11:00:00_Own Channel_Show Movie,2024-10-06 11:00:00,Own Channel,Show Movie,Justice League,
2024-10-06 11:00:00_Own Channel_Sell Adslot,2024-10-06 11:00:00,Own Channel,Sell Adslot,,126969
2024-10-06 11:30:00_Own Channel_Show Movie,2024-10-06 11:30:00,Own Channel,Show Movie,Justice League,
2024-10-06 11:30:00_Own Channel_Sell Adslot,2024-10-06 11:30:00,Own Channel,Sell Adslot,,133387
2024-10-06 12:00:00_Own Channel_Show Movie,2024-10-06 12:00:00,Own Channel,Show Movie,Justice League,
2024-10-06 12:00:00_Own Channel_Sell Adslot,2024-10-06 12:00:00,Own Channel,Sell Adslot,,140510
2024-10-06 12:30:00_Own Channel_Show Movie,2024-10-06 12:30:00,Own Channel,Show Movie,Spider-Man: Homecoming,
2024-10-06 12:30:00_Own Channel_Sell Adslot,2024-10-06 12:30:00,Own Channel,Sell Adslot,,315592
2024-10-06 13:00:00_Own Channel_Show Movie,2024-10-06 13:00:00,Own Channel,Show Movie,Spider-Man: Homecoming,
2024-10-06 13:00:00_Own Channel_Sell Adslot,2024-10-06 13:00:00,Own Channel,Sell Adslot,,323881
2024-10-06 13:30:00_Own Channel_Show Movie,2024-10-06 13:30:00,Own Channel,Show Movie,Spider-Man: Homecoming,
2024-10-06 13:30:00_Own Channel_Sell Adslot,2024-10-06 13:30:00,Own Channel,Sell Adslot,,332792
2024-10-06 14:00:00_Own Channel_Show Movie,2024-10-06 14:00:00,Own Channel,Show Movie,Spider-Man: Homecoming,
2024-10-06 14:00:00_Own Channel_Sell Adslot,2024-10-06 14:00:00,Own Channel,Sell Adslot,,342252
2024-10-06 14:30:00_Own Channel_Show Movie,2024-10-06 14:30:00,Own Channel,Show Movie,Spider-Man: Homecoming,
2024-10-06 14:30:00_Own Channel_Sell Adslot,2024-10-06 14:30:00,Own Channel,Sell Adslot,,352089
2024-10-06 15:00:00_Own Channel_Show Movie,2024-10-06 15:00:00,Own Channel,Show Movie,Indiana Jones and the Dial of Destiny,
2024-10-06 15:00:00_Own Channel_Sell Adslot,2024-10-06 15:00:00,Own Channel,Sell Adslot,,957039
2024-10-06 15:30:00_Own Channel_Show Movie,2024-10-06 15:30:00,Own Channel,Show Movie,Indiana Jones and the Dial of Destiny,
2024-10-06 15:30:00_Own Channel_Sell Adslot,2024-10-06 15:30:00,Own Channel,Sell Adslot,,968300
2024-10-06 16:00:00_Own Channel_Show Movie,2024-10-06 16:00:00,Own Channel,Show Movie,Indiana Jones and the Dial of Destiny,
2024-10-06 16:00:00_Own Channel_Sell Adslot,2024-10-06 16:00:00,Own Channel,Sell Adslot,,978523
2024-10-06 16:30:00_Own Channel_Show Movie,2024-10-06 16:30:00,Own Channel,Show Movie,Indiana Jones and the Dial of Destiny,
2024-10-06 16:30:00_Own Channel_Sell Adslot,2024-10-06 16:30:00,Own Channel,Sell Adslot,,986912
2024-10-06 17:00:00_Own Channel_Show Movie,2024-10-06 17:00:00,Own Channel,Show Movie,Indiana Jones and the Dial of Destiny,
2024-10-06 17:00:00_Own Channel_Sell Adslot,2024-10-06 17:00:00,Own Channel,Sell Adslot,,992789
2024-10-06 17:30:00_Own Channel_Show Movie,2024-10-06 17:30:00,Own Channel,Show Movie,Indiana Jones and the Dial of Destiny,
2024-10-06 17:30:00_Own Channel_Sell Adslot,2024-10-06 17:30:00,Own Channel,Sell Adslot,,995748
2024-10-06 18:00:00_Own Channel_Advertise Movie,2024-10-06 18:00:00,Own Channel,Advertise Movie,The Amazing Spider-Man,
2024-10-06 18:00:00_Own Channel_Show Movie,2024-10-06 18:00:00,Own Channel,Show Movie,The Hobbit: The Battle of the Five Armies,
2024-10-06 18:30:00_Own Channel_Advertise Movie,2024-10-06 18:30:00,Own Channel,Advertise Movie,The Amazing Spider-Man,
2024-10-06 18:30:00_Own Channel_Show Movie,2024-10-06 18:30:00,Own Channel,Show Movie,The Hobbit: The Battle of the Five Armies,
2024-10-06 19:00:00_Own Channel_Advertise Movie,2024-10-06 19:00:00,Own Channel,Advertise Movie,The Amazing Spider-Man,
2024-10-06 19:00:00_Own Channel_Show Movie,2024-10-06 19:00:00,Own Channel,Show Movie,The Hobbit: The Battle of the Five Armies,
2024-10-06 19:30:00_Own Channel_Show Movie,2024-10-06 19:30:00,Own Channel,Show Movie,The Hobbit: The Battle of the Five Armies,
2024-10-06 19:30:00_Own Channel_Advertise Movie,2024-10-06 19:30:00,Own Channel,Advertise Movie,Star Wars: The Rise of Skywalker,
2024-10-06 20:00:00_Own Channel_Advertise Movie,2024-10-06 20:00:00,Own Channel,Advertise Movie,Iron Man 2,
2024-10-06 20:00:00_Own Channel_Show Movie,2024-10-06 20:00:00,Own Channel,Show Movie,The Hobbit: The Battle of the Five Armies,
2024-10-06 20:30:00_Own Channel_Show Movie,2024-10-06 20:30:00,Own Channel,Show Movie,The Hobbit: The Battle of the Five Armies,
2024-10-06 20:30:00_Own Channel_Sell Adslot,2024-10-06 20:30:00,Own Channel,Sell Adslot,,134021
2024-10-06 21:00:00_Own Channel_Show Movie,2024-10-06 21:00:00,Own Channel,Show Movie,Star Wars: The Rise of Skywalker,
2024-10-06 21:00:00_Own Channel_Sell Adslot,2024-10-06 21:00:00,Own Channel,Sell Adslot,,1000000
2024-10-06 21:30:00_Own Channel_Show Movie,2024-10-06 21:30:00,Own Channel,Show Movie,Star Wars: The Rise of Skywalker,
2024-10-06 21:30:00_Own Channel_Sell Adslot,2024-10-06 21:30:00,Own Channel,Sell Adslot,,999410
2024-10-06 22:00:00_Own Channel_Show Movie,2024-10-06 22:00:00,Own Channel,Show Movie,Star Wars: The Rise of Skywalker,
2024-10-06 22:00:00_Own Channel_Sell Adslot,2024-10-06 22:00:00,Own Channel,Sell Adslot,,992798
2024-10-06 22:30:00_Own Channel_Show Movie,2024-10-06 22:30:00,Own Channel,Show Movie,Star Wars: The Rise of Skywalker,
2024-10-06 22:30:00_Own Channel_Sell Adslot,2024-10-06 22:30:00,Own Channel,Sell Adslot,,986075
2024-10-06 23:00:00_Own Channel_Show Movie,2024-10-06 23:00:00,Own Channel,Show Movie,Star Wars: The Rise of Skywalker,
2024-10-06 23:00:00_Own Channel_Sell Adslot,2024-10-06 23:00:00,Own Channel,Sell Adslot,,979233
2024-10-06 23:30:00_Own Channel_Show Movie,2024-10-06 23:30:00,Own Channel,Show Movie,Star Wars: The Rise of Skywalker,
2024-10-06 23:30:00_Own Channel_Sell Adslot,2024-10-06 23:30:00,Own Channel,Sell Adslot,,972873
2024-10-07 07:00:00_Own Channel_Show Movie,2024-10-07 07:00:00,Own Channel,Show Movie,The Amazing Spider-Man,
2024-10-07 07:00:00_Own Channel_Sell Adslot,2024-10-07 07:00:00,Own Channel,Sell Adslot,,979555
2024-10-07 07:30:00_Own Channel_Show Movie,2024-10-07 07:30:00,Own Channel,Show Movie,The Amazing Spider-Man,
2024-10-07 07:30:00_Own Channel_Sell Adslot,2024-10-07 07:30:00,Own Channel,Sell Adslot,,978944
2024-10-07 08:00:00_Own Channel_Advertise Movie,2024-10-07 08:00:00,Own Channel,Advertise Movie,Doctor Strange,
2024-10-07 08:00:00_Own Channel_Show Movie,2024-10-07 08:00:00,Own Channel,Show Movie,The Amazing Spider-Man,
