ID,Date-Time,Channel,Action,Movie Title,Viewerships
Cost,N/A,N/A,Total Cost,N/A,29143421.699999996
2024-10-05 07:00:00_Own Channel_Show Movie,2024-10-05 07:00:00,Own Channel,Show Movie,Iron Man 2,
2024-10-05 07:00:00_Own Channel_Advertise Movie,2024-10-05 07:00:00,Own Channel,Advertise Movie,The Little Mermaid,
2024-10-05 07:30:00_Own Channel_Show Movie,2024-10-05 07:30:00,Own Channel,Show Movie,Iron Man 2,
2024-10-05 07:30:00_Own Channel_Advertise Movie,2024-10-05 07:30:00,Own Channel,Advertise Movie,Indiana Jones and the Dial of Destiny,
2024-10-05 08:00:00_Own Channel_Show Movie,2024-10-05 08:00:00,Own Channel,Show Movie,Iron Man 2,
2024-10-05 08:00:00_Own Channel_Advertise Movie,2024-10-05 08:00:00,Own Channel,Advertise Movie,Shrek Forever After,
2024-10-05 08:30:00_Own Channel_Show Movie,2024-10-05 08:30:00,Own Channel,Show Movie,Iron Man 2,
2024-10-05 08:30:00_Own Channel_Advertise Movie,2024-10-05 08:30:00,Own Channel,Advertise Movie,The Amazing Spider-Man,
2024-10-05 09:00:00_Own Channel_Show Movie,2024-10-05 09:00:00,Own Channel,Show Movie,Iron Man 2,
2024-10-05 09:00:00_Own Channel_Advertise Movie,2024-10-05 09:00:00,Own Channel,Advertise Movie,Shrek Forever After,
2024-10-05 09:30:00_Own Channel_Advertise Movie,2024-10-05 09:30:00,Own Channel,Advertise Movie,Batman v Superman: Dawn of Justice,
2024-10-05 09:30:00_Own Channel_Show Movie,2024-10-05 09:30:00,Own Channel,Show Movie,Fast X,
2024-10-05 10:00:00_Own Channel_Show Movie,2024-10-05 10:00:00,Own Channel,Show Movie,Fast X,
2024-10-05 10:00:00_Own Channel_Sell Adslot,2024-10-05 10:00:00,Own Channel,Sell Adslot,,40291
2024-10-05 10:30:00_Own Channel_Show Movie,2024-10-05 10:30:00,Own Channel,Show Movie,Fast X,
2024-10-05 10:30:00_Own Channel_Sell Adslot,2024-10-05 10:30:00,Own Channel,Sell Adslot,,45606
2024-10-05 11:00:00_Own Channel_Advertise Movie,2024-10-05 11:00:00,Own Channel,Advertise Movie,The Amazing Spider-Man,
2024-10-05 11:00:00_Own Channel_Show Movie,2024-10-05 11:00:00,Own Channel,Show Movie,Fast X,
2024-10-05 11:30:00_Own Channel_Advertise Movie,2024-10-05 11:30:00,Own Channel,Advertise Movie,Frozen,
2024-10-05 11:30:00_Own Channel_Show Movie,2024-10-05 11:30:00,Own Channel,Show Movie,Fast X,
